ZipCode,City,State,Latitude,Longitude,Classification,Population
"00501","HOLTSVILLE","NY","40.7877","-73.0393","U","0"
"00544","HOLTSVILLE","NY","40.7888","-73.0394","U","0"
"00601","ADJUNTAS","PR","18.1967","-66.7367","","17242"
"00602","AGUADA","PR","18.3529","-67.1775","","37548"
"00603","AGUADILLA","PR","18.4586","-67.1299","","49804"
"00604","AGUADILLA","PR","18.4888","-67.1477","P","0"
"00605","AGUADILLA","PR","18.4289","-67.1538","P","0"
"00606","MARICAO","PR","18.1667","-66.9392","","5009"
"00610","ANASCO","PR","18.2946","-67.1300","","25731"
"00611","ANGELES","PR","18.2856","-66.9698","P","1671"
"00612","ARECIBO","PR","18.3880","-66.6653","","62425"
"00613","ARECIBO","PR","18.4744","-66.7163","P","0"
"00614","ARECIBO","PR","18.4744","-66.7163","P","0"
"00616","BAJADERO","PR","18.3994","-66.6920","","9828"
"00617","BARCELONETA","PR","18.4298","-66.5581","","22541"
"00622","BOQUERON","PR","18.0259","-67.1689","","7838"
"00623","CABO ROJO","PR","18.0402","-67.1466","","39320"
"00624","PENUELAS","PR","18.0728","-66.7248","","21709"
"00627","CAMUY","PR","18.4633","-66.8683","","32873"
"00631","CASTANER","PR","18.2246","-66.8678","P","1414"
"00637","SABANA GRANDE","PR","18.0776","-66.9392","","23124"
"00638","CIALES","PR","18.2997","-66.4986","","18109"
"00641","UTUADO","PR","18.2797","-66.6891","","24292"
"00646","DORADO","PR","18.4591","-66.2724","","36272"
"00647","ENSENADA","PR","17.9725","-66.9452","","4611"
"00650","FLORIDA","PR","18.3630","-66.5581","","13637"
"00652","GARROCHALES","PR","18.4519","-66.5998","","4020"
"00653","GUANICA","PR","17.9825","-66.8916","","9244"
"00656","GUAYANILLA","PR","18.0373","-66.7963","","17965"
"00659","HATILLO","PR","18.4160","-66.7963","","37421"
"00660","HORMIGUEROS","PR","18.1382","-67.1120","","15448"
"00662","ISABELA","PR","18.4561","-67.0226","","40770"
"00664","JAYUYA","PR","18.2103","-66.5819","","15066"
"00667","LAJAS","PR","18.0100","-67.0226","","23522"
"00669","LARES","PR","18.2914","-66.8678","","27833"
"00670","LAS MARIAS","PR","18.2396","-66.9869","","8828"
"00674","MANATI","PR","18.4332","-66.4986","","39345"
"00676","MOCA","PR","18.3856","-67.0822","","36706"
"00677","RINCON","PR","18.3317","-67.2312","","15379"
"00678","QUEBRADILLAS","PR","18.4313","-66.9154","","25410"
"00680","MAYAGUEZ","PR","18.0877","-67.8926","","46056"
"00681","MAYAGUEZ","PR","18.1211","-67.0824","P","0"
"00682","MAYAGUEZ","PR","18.2208","-67.1477","","28299"
"00683","SAN GERMAN","PR","18.0992","-67.0226","","29788"
"00685","SAN SEBASTIAN","PR","18.3162","-66.9750","","40294"
"00687","MOROVIS","PR","18.3222","-66.4152","","28727"
"00688","SABANA HOYOS","PR","18.3500","-66.6296","","12443"
"00690","SAN ANTONIO","PR","18.5019","-67.0971","","5326"
"00692","VEGA ALTA","PR","18.4018","-66.3438","","32873"
"00693","VEGA BAJA","PR","18.4207","-66.4033","","56095"
"00694","VEGA BAJA","PR","18.4465","-66.3884","P","231"
"00698","YAUCO","PR","18.0909","-66.8678","","33774"
"00703","AGUAS BUENAS","PR","18.2626","-66.1296","","25332"
"00704","AGUIRRE","PR","17.9802","-66.2189","","6865"
"00705","AIBONITO","PR","18.1354","-66.2605","","24467"
"00707","MAUNABO","PR","18.0127","-65.9155","","10544"
"00714","ARROYO","PR","17.9871","-66.0582","","15802"
"00715","MERCEDITA","PR","18.0071","-66.5581","","2299"
"00716","PONCE","PR","17.9877","-66.6236","","28423"
"00717","PONCE","PR","18.0004","-66.6147","","14199"
"00718","NAGUABO","PR","18.2222","-65.7460","","23290"
"00719","NARANJITO","PR","18.2782","-66.2486","","30063"
"00720","OROCOVIS","PR","18.2045","-66.4510","","20331"
"00721","PALMER","PR","18.3711","-65.7747","P","0"
"00723","PATILLAS","PR","18.0252","-66.0107","","15983"
